SPB-16380,2019-06-03 15:02,514,성수사거리 버스정류장 앞,1,2019-06-03 15:10,3534,건대입구역 5번출구 뒤,5,7,870
SPB-17290,2019-06-03 14:53,3509,세종사이버대학교,15,2019-06-03 15:28,3534,건대입구역 5번출구 뒤,12,35,2350
SPB-06476,2019-06-03 15:14,2313,금원빌딩 앞,10,2019-06-03 15:30,3534,건대입구역 5번출구 뒤,10,15,2980
SPB-12619,2019-06-03 14:18,225,앙카라공원 앞,15,2019-06-03 15:30,3534,건대입구역 5번출구 뒤,8,69,17230
SPB-21260,2019-06-03 15:15,525,한양대병원사거리,1,2019-06-03 15:41,3534,건대입구역 5번출구 뒤,7,25,3800
SPB-14572,2019-06-03 14:57,3524,세종대학교,15,2019-06-03 15:58,3534,건대입구역 5번출구 뒤,8,61,3310
SPB-07633,2019-06-03 15:57,3524,세종대학교,8,2019-06-03 16:04,3534,건대입구역 5번출구 뒤,6,7,1210
SPB-17282,2019-06-03 15:44,505,자양사거리 광진아크로텔 앞,3,2019-06-03 16:08,3534,건대입구역 5번출구 뒤,11,23,2540
SPB-24185,2019-06-03 15:33,3504,원일교회,6,2019-06-03 16:08,3534,건대입구역 5번출구 뒤,9,34,2650
SPB-05104,2019-06-03 16:12,567,성수역 2번출구 앞,12,2019-06-03 16:42,3534,건대입구역 5번출구 뒤,1,29,2620
SPB-06378,2019-06-03 16:47,592,건국대학교 학생회관,6,2019-06-03 16:53,3534,건대입구역 5번출구 뒤,9,6,1300
SPB-07228,2019-06-03 16:49,3529,어린이대공원정문,1,2019-06-03 16:55,3534,건대입구역 5번출구 뒤,5,5,1380
SPB-02730,2019-06-03 16:50,592,건국대학교 학생회관,7,2019-06-03 16:56,3534,건대입구역 5번출구 뒤,12,5,1090
SPB-05784,2019-06-03 16:52,592,건국대학교 학생회관,11,2019-06-03 16:59,3534,건대입구역 5번출구 뒤,3,6,1070
SPB-13833,2019-06-03 16:25,559,왕십리역 4번 출구 건너편,5,2019-06-03 17:05,3534,건대입구역 5번출구 뒤,2,39,4500
SPB-18399,2019-06-03 17:01,514,성수사거리 버스정류장 앞,3,2019-06-03 17:08,3534,건대입구역 5번출구 뒤,12,5,750
SPB-17237,2019-06-03 17:04,503,더샵스타시티 C동 앞,14,2019-06-03 17:09,3534,건대입구역 5번출구 뒤,8,4,780
SPB-08620,2019-06-03 16:41,502,뚝섬유원지역 1번출구 앞,6,2019-06-03 17:11,3534,건대입구역 5번출구 뒤,5,28,2490
SPB-05509,2019-06-03 15:56,1636,백병원 사거리 농협은행 앞,1,2019-06-03 17:21,3534,건대입구역 5번출구 뒤,9,84,18330
SPB-18340,2019-06-03 16:51,525,한양대병원사거리,3,2019-06-03 17:23,3534,건대입구역 5번출구 뒤,8,31,3970
SPB-09977,2019-06-03 16:46,525,한양대병원사거리,8,2019-06-03 17:23,3534,건대입구역 5번출구 뒤,4,36,3620
SPB-08357,2019-06-03 16:43,525,한양대병원사거리,11,2019-06-03 17:23,3534,건대입구역 5번출구 뒤,11,37,3530
SPB-11007,2019-06-03 17:09,513,뚝섬역 5번 출구 정류소 옆,7,2019-06-03 17:26,3534,건대입구역 5번출구 뒤,10,17,2010
SPB-22340,2019-06-03 16:42,3533,건대입구역 사거리(롯데백화점),8,2019-06-03 17:28,3534,건대입구역 5번출구 뒤,7,43,970
SPB-17906,2019-06-03 17:21,590,건국대학교 (입학정보관),6,2019-06-03 17:28,3534,건대입구역 5번출구 뒤,3,6,470
SPB-02730,2019-06-03 17:06,3534,건대입구역 5번출구 뒤,12,2019-06-03 17:34,3534,건대입구역 5번출구 뒤,8,26,3090
SPB-04179,2019-06-03 16:57,525,한양대병원사거리,17,2019-06-03 17:44,3534,건대입구역 5번출구 뒤,6,46,5040
SPB-11732,2019-06-03 16:58,525,한양대병원사거리,12,2019-06-03 17:44,3534,건대입구역 5번출구 뒤,5,43,4440
SPB-14981,2019-06-03 16:57,525,한양대병원사거리,7,2019-06-03 17:44,3534,건대입구역 5번출구 뒤,6,47,5000
SPB-15625,2019-06-03 17:33,592,건국대학교 학생회관,23,2019-06-03 17:47,3534,건대입구역 5번출구 뒤,12,13,1320
SPB-17797,2019-06-03 16:53,1601,석계역 문화광장 내 자전거 보관소,5,2019-06-03 17:47,3534,건대입구역 5번출구 뒤,9,53,11010
SPB-04289,2019-06-03 17:35,505,자양사거리 광진아크로텔 앞,6,2019-06-03 17:49,3534,건대입구역 5번출구 뒤,5,13,1570
SPB-00719,2019-06-03 17:49,571,어린이대공원역6번출구,11,2019-06-03 17:59,3534,건대입구역 5번출구 뒤,10,9,1210
SPB-17252,2019-06-03 17:51,589,성수역3번출구,6,2019-06-03 18:03,3534,건대입구역 5번출구 뒤,2,11,1340
SPB-23569,2019-06-03 17:39,511,서울숲역 4번 출구 옆,13,2019-06-03 18:09,3534,건대입구역 5번출구 뒤,11,29,3180
SPB-24181,2019-06-03 17:37,511,서울숲역 4번 출구 옆,11,2019-06-03 18:09,3534,건대입구역 5번출구 뒤,1,30,3170
SPB-21989,2019-06-03 18:09,505,자양사거리 광진아크로텔 앞,10,2019-06-03 18:18,3534,건대입구역 5번출구 뒤,9,8,1220
SPB-19634,2019-06-03 18:13,589,성수역3번출구,1,2019-06-03 18:23,3534,건대입구역 5번출구 뒤,5,9,1280
SPB-00611,2019-06-03 18:15,589,성수역3번출구,6,2019-06-03 18:25,3534,건대입구역 5번출구 뒤,1,9,1430
SPB-06251,2019-06-03 17:34,573,구의문주차장 앞,8,2019-06-03 18:27,3534,건대입구역 5번출구 뒤,7,52,2270
SPB-16637,2019-06-03 18:23,502,뚝섬유원지역 1번출구 앞,1,2019-06-03 18:30,3534,건대입구역 5번출구 뒤,4,6,1070
SPB-04105,2019-06-03 18:23,514,성수사거리 버스정류장 앞,1,2019-06-03 18:31,3534,건대입구역 5번출구 뒤,12,8,750
SPB-23904,2019-06-03 18:18,3538,서울숲 IT캐슬,6,2019-06-03 18:33,3534,건대입구역 5번출구 뒤,7,14,3300
SPB-12978,2019-06-03 18:25,592,건국대학교 학생회관,3,2019-06-03 18:33,3534,건대입구역 5번출구 뒤,11,7,880
SPB-07207,2019-06-03 18:13,3506,영동대교 북단,7,2019-06-03 18:36,3534,건대입구역 5번출구 뒤,12,22,1750
SPB-11798,2019-06-03 18:20,513,뚝섬역 5번 출구 정류소 옆,13,2019-06-03 18:39,3534,건대입구역 5번출구 뒤,2,18,2000
SPB-04550,2019-06-03 17:02,1316,고려사대부속중고 건너편,5,2019-06-03 18:40,3534,건대입구역 5번출구 뒤,3,97,15170
SPB-01439,2019-06-03 17:01,1316,고려사대부속중고 건너편,3,2019-06-03 18:40,3534,건대입구역 5번출구 뒤,7,98,15540
SPB-18370,2019-06-03 18:33,587,유니베라 앞,9,2019-06-03 18:41,3534,건대입구역 5번출구 뒤,11,7,1720
SPB-06645,2019-06-03 18:27,3501,광진구청 앞,3,2019-06-03 18:42,3534,건대입구역 5번출구 뒤,2,14,1720
SPB-21524,2019-06-03 18:28,3537,아차산 휴먼시아 아파트 옆,2,2019-06-03 18:50,3534,건대입구역 5번출구 뒤,9,21,3250
SPB-05095,2019-06-03 18:41,592,건국대학교 학생회관,3,2019-06-03 18:51,3534,건대입구역 5번출구 뒤,9,9,1080
SPB-05490,2019-06-03 16:30,592,건국대학교 학생회관,18,2019-06-03 19:00,3534,건대입구역 5번출구 뒤,5,149,1400
SPB-21484,2019-06-03 17:45,318,광교사거리 남측,8,2019-06-03 19:01,3534,건대입구역 5번출구 뒤,1,75,12050
SPB-11338,2019-06-03 19:01,3541,커먼그라운드,1,2019-06-03 19:04,3534,건대입구역 5번출구 뒤,12,2,350
SPB-11694,2019-06-03 18:50,540,군자역 7번출구 베스트샵 앞,7,2019-06-03 19:08,3534,건대입구역 5번출구 뒤,2,18,2140
SPB-15930,2019-06-03 18:57,589,성수역3번출구,6,2019-06-03 19:08,3534,건대입구역 5번출구 뒤,3,10,1350
SPB-19858,2019-06-03 19:15,540,군자역 7번출구 베스트샵 앞,2,2019-06-03 19:24,3534,건대입구역 5번출구 뒤,8,8,1960
SPB-07739,2019-06-03 19:19,579,마장역 4번출구,1,2019-06-03 19:46,3534,건대입구역 5번출구 뒤,12,26,3770
SPB-11668,2019-06-03 19:42,585,성수2가1동 공영주차장 인근,3,2019-06-03 19:51,3534,건대입구역 5번출구 뒤,5,8,1280
SPB-05104,2019-06-03 18:07,3534,건대입구역 5번출구 뒤,1,2019-06-03 19:56,3534,건대입구역 5번출구 뒤,4,108,1880
SPB-15132,2019-06-03 19:47,505,자양사거리 광진아크로텔 앞,10,2019-06-03 20:01,3534,건대입구역 5번출구 뒤,3,12,1320
SPB-03480,2019-06-03 19:48,505,자양사거리 광진아크로텔 앞,8,2019-06-03 20:01,3534,건대입구역 5번출구 뒤,5,11,1340
SPB-19820,2019-06-03 19:05,845,용산 선인상가,4,2019-06-03 20:03,3534,건대입구역 5번출구 뒤,3,57,14560
SPB-02546,2019-06-03 20:09,1222,잠실새내역 5번 출구 뒤,5,2019-06-03 20:44,3534,건대입구역 5번출구 뒤,12,34,5980
SPB-24171,2019-06-03 20:23,617,청솔우성아파트 앞,20,2019-06-03 20:55,3534,건대입구역 5번출구 뒤,11,27,5350
SPB-19971,2019-06-03 20:46,3520,광진경찰서,7,2019-06-03 21:04,3534,건대입구역 5번출구 뒤,12,18,1890
SPB-13991,2019-06-03 20:47,3520,광진경찰서,8,2019-06-03 21:04,3534,건대입구역 5번출구 뒤,11,16,2070
SPB-07941,2019-06-03 21:10,3541,커먼그라운드,1,2019-06-03 21:12,3534,건대입구역 5번출구 뒤,5,1,230
SPB-15969,2019-06-03 20:54,3509,세종사이버대학교,5,2019-06-03 21:15,3534,건대입구역 5번출구 뒤,2,20,2790
